星球,年段,類型,答案,題目,出處
水星,低年級,是非題,O,水星白天非常熱，晚上非常冷。,低年級-基本資料
水星,低年級,是非題,X,水星有空氣可以呼吸。,低年級-基本資料
水星,低年級,填充題,88天,在水星上，一年大約只有多少天？,低年級-其他有趣事實
水星,低年級,填充題,最快,水星是繞太陽的速度是最快還是最慢的?_____,低年級-其他有趣事實
水星,中年級,選擇題,(C),水星白天最高溫度可超過多少度？(A) 200°C(B) 300°C(C) 400°C(D) 500°C,中年級-基本資料
水星,中年級,選擇題,(A),水星表面有很多什麼結構，看起來像月球？(A) 隕石坑(B) 火山口(C) 山脈(D) 沙丘,中年級-基本資料
水星,中年級,填充題,太接近太陽,為什麼我們很難用望遠鏡看到水星的細節？____,中年級-其他有趣事實
水星,高年級,選擇題,(B),水星自轉三圈的時間大約等於它公轉幾圈？(A) 一圈(B) 兩圈(C) 三圈(D) 四圈,高年級-其他有趣事實
水星,高年級,填充題,"4,880公里",水星的直徑大約多少公里？,高年級-基本資料
水星,高年級,填充題,信使號,哪艘太空船在2011年進一步詳細探測水星？,高年級-觀測歷史
金星,低年級,是非題,O,金星是八大行星中最熱的行星。,低年級-基本資料
金星,低年級,是非題,O,金星在天空中是非常亮的星。,低年級-觀測歷史
金星,低年級,填充題,長庚星,在黃昏時，人們把金星稱作什麼？,低年級-觀測歷史
金星,低年級,填充題,黃色雲,金星的天空中充滿什麼顏色的雲？,低年級-其他有趣事實
金星,中年級,選擇題,(A),金星大氣層主要由什麼氣體組成？(A) 二氧化碳(B) 氧氣(C) 氮氣(D) 氦氣,中年級-基本資料
金星,中年級,選擇題,(C),金星的自轉方向是？(A) 正行自轉(B) 偏心自轉(C) 逆行自轉(D) 離心自轉,中年級-其他有趣事實
金星,中年級,填充題,伽利略,誰是第一個用望遠鏡觀察金星相位變化的天文學家？,中年級-觀測歷史
金星,高年級,選擇題,(B),"金星的直徑最接近多少公里？(A) 8,000公里(B) 12,000公里(C) 16,000公里(D) 20,000公里",高年級-基本資料
金星,高年級,填充題,90倍,金星大氣壓力約為地球的幾倍？,高年級-基本資料
金星,高年級,填充題,金星計畫,1960年代，哪個蘇聯探測計畫第一次直接測量金星環境？,高年級-觀測歷史
地球,低年級,是非題,O,地球有藍色的海洋、綠色的森林和白色的雲。,低年級-基本資料
地球,低年級,是非題,X,地球是太陽旁邊的第二顆行星。,低年級-基本資料
地球,低年級,填充題,白天和晚上,地球自己一直轉，會發生什麼事？,低年級-其他有趣事實
地球,低年級,填充題,春夏秋冬,地球的四季是哪四個季節？,低年級-其他有趣事實
地球,中年級,選擇題,(A),"海洋大約佔了地球表面的多少比例 (%) (A) 百分之七十 (70%) (B) 百分之五十 (50%) (C) 百分之三十 (30%) (D) 百分之十 (10%)",中年級-基本資料
地球,中年級,選擇題,(C),麥哲倫船隊的環球航行證明了什麼？(A) 地球靜止不動(B) 地球是平的(C) 地球是圓的(D) 地球有環,中年級-觀測歷史
地球,中年級,填充題,東邊,地球自轉方向讓太陽每天從哪邊升起？,中年級-其他有趣事實
地球,高年級,選擇題,(B),"地球的直徑最接近多少公里？(A) 10,000公里(B) 12,000公里(C) 15,000公里(D) 20,000公里",高年級-基本資料
地球,高年級,填充題,地磁場,能偏轉太陽風、保護地球大氣層的力量叫什麼？,高年級-基本資料
地球,高年級,填充題,扁球體,地球赤道微微鼓起、南北極稍扁，形狀像什麼？,高年級-其他有趣事實
火星,低年級,是非題,O,火星的顏色紅紅的，所以被叫做「紅色星球」。,低年級-基本資料
火星,低年級,是非題,X,火星比地球還要大。,低年級-基本資料
火星,低年級,填充題,奧林帕斯山,火星上最高的火山叫什麼名字？,低年級-其他有趣事實
火星,低年級,填充題,福波斯/戴摩斯,火星有兩顆小月亮，請任意說出一顆的名字？,低年級-其他有趣事實
火星,中年級,選擇題,(A),火星表面為什麼是紅色？(A) 含有紅色鐵鏽(B) 覆滿紅沙(C) 火山熔岩(D) 氧氣太多,中年級-基本資料
火星,中年級,選擇題,(C),"火星一年大約需要多少地球日？(A) 200天(B) 365天(C) 687天(D) 1,000天",中年級-其他有趣事實
火星,中年級,填充題,液態水,火星表面有「水道」的痕跡，科學家猜以前可能有什麼？,中年級-其他有趣事實
火星,高年級,選擇題,(B),火星表面最大的峽谷叫什麼？(A) 大裂谷(B) 水手號峽谷(C) 火星大峽谷(D) 奧林帕斯峽谷,高年級-基本資料
火星,高年級,填充題,沙塵暴,火星有時會出現覆蓋整顆星球的什麼天氣現象？,高年級-其他有趣事實
火星,高年級,填充題,維京號,哪個探測器在1976年成功登陸火星？,高年級-觀測歷史
木星,低年級,是非題,O,木星是八大行星中最大的行星。,低年級-基本資料
木星,低年級,是非題,X,木星上有堅硬的地面可以行走。,低年級-基本資料
木星,低年級,填充題,大紅班,木星上有個像永不停息的風暴，叫什麼？,低年級-其他有趣事實
木星,低年級,是非題,O,我們在夜空中，我們只需要用眼睛就能看到木星,低年級-觀測歷史
木星,中年級,選擇題,(A),伽利略最早發現了幾顆木星的大衛星？(A) 4顆(B) 2顆(C) 6顆(D) 8顆,中年級-觀測歷史
木星,中年級,選擇題,(C),木星直徑約為地球的幾倍？(A) 5倍(B) 8倍(C) 11倍(D) 15倍,中年級-基本資料
木星,中年級,填充題,雲帶,木星表面有彩色條紋，這些是由什麼形成的？,中年級-基本資料
木星,高年級,選擇題,(B),木星的自轉一圈大約需要多久？(A) 24小時(B) 10小時(C) 15小時(D) 30小時,高年級-基本資料
木星,高年級,填充題,95顆以上,木星已知的衛星數量大約多少？,高年級-其他有趣事實
木星,高年級,填充題,磁場,木星因為有超過1000萬公里的____，可以形成巨大的輻射帶。,高年級-其他有趣事實
土星,低年級,是非題,O,土星有美麗的環，是天空中最特別的行星之一。,低年級-基本資料
土星,低年級,是非題,X,土星有堅硬的地面可以站立。,低年級-基本資料
土星,低年級,填充題,冰塊和石頭,土星的環是由很多小什麼組成的？,低年級-其他有趣事實
土星,低年級,填充題,浮起來,土星非常的輕，如果有夠大的水池，把土星放進去，它會怎麼樣？,低年級-其他有趣事實
土星,中年級,選擇題,(B),誰在1655年確認了土星有環並發現土衛六？(A) 伽利略(B) 惠更斯(C) 牛頓(D) 哥白尼,中年級-觀測歷史
土星,中年級,選擇題,(D),土星一天自轉大約需要多久？(A) 5小時(B) 8小時(C) 12小時(D) 10小時,中年級-其他有趣事實
土星,中年級,填充題,七個,土星的環被科學家分成幾個主要區域？,中年級-其他有趣事實
土星,高年級,選擇題,(C),土星的密度比水還輕，大約多少克/立方公分？(A) 1.0(B) 0.9(C) 0.7(D) 0.5,高年級-基本資料
土星,高年級,填充題,泰坦,土星最大、擁有濃厚大氣的衛星叫什麼？,高年級-其他有趣事實
土星,高年級,填充題,極光,土星的強大磁場能產生什麼美麗現象？,高年級-基本資料
天王星,低年級,是非題,O,天王星的顏色是淡藍綠色，看起來很漂亮。,低年級-基本資料
天王星,低年級,是非題,X,天王星是太陽系中最亮的行星。,低年級-觀測歷史
天王星,低年級,填充題,橫著滾,天王星自轉像什麼樣子？,低年級-其他有趣事實
天王星,低年級,是非題,X,天王星有一個超大的環，比土星的環還要明顯,低年級-其他有趣事實
天王星,中年級,選擇題,(B),1781年的時候威廉赫歇爾用什麼工具發現天王星？(A) 肉眼(B) 望遠鏡(C) 雷達(D) 數學計算,中年級-觀測歷史
天王星,中年級,選擇題,(A),"天王星的直徑約為多少公里？(A) 50,000公里(B) 40,000公里(C) 60,000公里(D) 70,000公里",中年級-基本資料
天王星,中年級,填充題,甲烷,天王星大氣中哪種氣體讓它呈現藍綠色？,中年級-基本資料
天王星,高年級,選擇題,(D),天王星的磁軸和自轉軸大約有幾度的傾斜？(A) 10度(B) 30度(C) 45度(D) 60度,高年級-其他有趣事實
天王星,高年級,填充題,14倍,天王星的質量大約是地球的幾倍？,高年級-基本資料
天王星,高年級,填充題,極端傾斜,天王星的「一天長達42年、黑夜也長達42年」奇特極晝與極夜現象，是因為什麼原因造成的？,高年級-其他有趣事實
海王星,低年級,是非題,O,海王星是太陽系中離太陽最遠的行星。,低年級-基本資料
海王星,低年級,是非題,X,海王星的顏色是紅色的。,低年級-基本資料
海王星,低年級,填充題,數學,科學家再用望遠鏡找到海王星之前，是用什麼方法先猜到海王星位置？,低年級-觀測歷史
海王星,低年級,填充題,海王星,海王星上的風比較快還是地球上的風？,低年級-其他有趣事實
海王星,中年級,選擇題,(C),"海王星的直徑約多少公里？(A) 30,000公里(B) 40,000公里(C) 50,000公里(D) 60,000公里",中年級-基本資料
海王星,中年級,選擇題,(B),哪艘探測器在1989年近距離飛過海王星？(A) 信使號(B) 航海家2號(C) 伽利略號(D) 卡西尼號,中年級-觀測歷史
海王星,中年級,填充題,大黑斑,海王星上類似木星紅斑的巨大風暴叫什麼？,中年級-其他有趣事實
海王星,高年級,選擇題,(D),海王星公轉太陽一圈大約需要多少地球年？(A) 55年(B) 105年(C) 125年(D) 165年,高年級-基本資料
海王星,高年級,填充題,特里同,海王星最大、會逆向公轉的衛星叫什麼？,高年級-其他有趣事實
海王星,高年級,填充題,"每小時2,100公里",海王星大氣中風速可達多少？,高年級-其他有趣事實